taverns 酒馆
forward-looking 有远见的 
freight 运送
household 家庭的，一家人的
precursor 先驱
commonsense 常识的
melting 融化的
nevertheless 然而，不过
among 在，，，之间
commercial 商业的，盈利的
progressive 先进的
rudimentary 基本的，退化的，残留的，未发展的
notion 概念
rapidly 迅速地
tub 浴盆，桶
competitors 对手
premium 保险费，额外费用，奖金
neat 灵巧的，整洁的，优雅的
manufacture 制造，产品，制造业
conserve 保存
charge 费用，掌管，充电
wrap 围巾，包住
insulation 绝缘，隔热
proterozoic 原生带
horizontal 水平的
aggression 侵犯，侵略行为
cavity 洞穴
corpse 尸体
deficiency 缺乏，不足
emergence 冒出，浮出
glaze 打光 the cake glaze with cream was ready to be eaten
longevity 长寿
domesticate 使习惯于家庭生活，驯养
hieroglyphic 象形文字的
norm 规范
sophisticated 老练的，成熟的
tropic 回归线，热带，热带的
prestige 威望，声望
tract 器官系统，大片（土地或森林）
soak 吸入，浸泡
stagnant 不流动的，停滞的
coarse 粗糙的
tablet 药片，便筏簿，碑
represent 代表
commission 委任，委员会
construct 建筑
stimulate 刺激
plateau 高原
cosmic 宇宙的，广大无边的
circumstance 情况
attach 系
layer 层次，层
generous 宽厚的，慷慨的
spectator 见证者，观众
sketch 梗概，素描
lure 引诱，勾引
hostile 敌对的
slope 山坡，斜坡
multiple 倍数，多重的，倍数的
delight 高兴的
influential 有影响的
narrative 叙述
intricate 复杂难懂的
preservation 保护
monument 纪念碑
navigation 导航
Venus 金星
weed 杂草
apply 涂，敷
flat 平的，平板
pry 刺探，打听，撬开
imitative 模仿的，仿制的
propulsion 推动力
resilience 恢复力
sought seek的过去式和过去分词
persian	 波斯人
institute 学会，学院
condition 状况
velocity 速度
commercially 商业上
awareness 意识，明白
deterioration 变坏，恶化
algae 藻类
pest 害虫
prehistoric 史前的
dye 染色
agrarian 耕地的
immune 免疫者，免疫的
strategy 策略
prominent 突起的，凸出的，杰出的
partially 部分的
madder 茜草属的植物
Columbia 哥伦比亚
Santa 圣诞老人
aragonite 霰石
mussel 蚌类
fossilize 使成化石
iridium 白金的
lacks 缺乏，不足
crustal 地壳，地壳的
inspiration 灵感
fossil 化石
subspecies 亚种
combustion 燃烧
archaeocyte 元细胞
tundra 冻土地带
scandinavian 斯堪的那维亚语
contrary 对立面，相反，矛盾的
silt 淤泥，泥沙
ether 乙醚，以太，太空，灵气
invisible 看不见的，无形的
substance 物质
standard 标准
initial 首字母，开始的，最初的
moral 道德上的
abandon 放弃
Netherlands 荷兰
dominates 控制，支配，占优势
dandelion 蒲公英
parachute 降落伞
girder 大梁
racial 种族的
crude 粗糙的，天然的，未加工的
accommodate 容纳
generate 发生，生殖
